10,1
20,0
30,0
40,1
50,0
60,0
70,1
80,0
90,1
100,0
200,0
300,0
400,1
500,1
600,1
700,1
800,0
900,1
1000,1
2000,1
3000,1
4000,2
5000,2
6000,4
7000,5
8000,7
9000,6
10000,7
20000,12
30000,11
40000,14
50000,9
60000,11
70000,27
80000,15
90000,18
100000,18
200000,33
300000,49
400000,68
500000,90
600000,102
700000,118
800000,151
900000,163
1000000,188
2000000,374
3000000,493
4000000,681
5000000,974
6000000,1703
7000000,1393
8000000,4328
9000000,1540
10000000,1721
